feature,all_cases,alter_cases,all_acc,no_change_acc,change_acc,flip_rate,prompt_rate,sig_right_flip_rate,sig_wrong_flip_rate,right_rate,delete_right_rate
word_leave.csv,55,50,0.7636363636363637,0.78,0.74,0.12,0.073,0.5,0.5,0.24,0.24
word_ashamed.csv,14,8,0.9285714285714286,1.0,0.875,0.125,0.071,0.0,1.0,0.0,0.125
word_watch.csv,20,19,0.75,0.7368421052631579,0.7368421052631579,0.0,0.150,nan,nan,0.3157894736842105,0.3157894736842105
word_bring.csv,12,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.333,nan,nan,1.0,1.0
word_everyone.csv,21,17,0.8571428571428571,0.8235294117647058,0.8235294117647058,0.0,0.143,nan,nan,0.4117647058823529,0.4117647058823529
word_break.csv,29,26,0.9655172413793104,0.9615384615384616,0.9615384615384616,0.0,0.103,nan,nan,0.46153846153846156,0.46153846153846156
word_feel.csv,95,82,0.8631578947368421,0.8658536585365854,0.8902439024390244,0.0975609756097561,0.253,0.625,0.375,0.5609756097560976,0.5365853658536586
word_see.csv,48,43,0.9375,0.9302325581395349,0.813953488372093,0.11627906976744186,0.146,0.8,0.2,0.5116279069767442,0.4418604651162791
word_stop.csv,27,20,0.9259259259259259,0.95,0.85,0.2,0.111,0.5,0.5,0.55,0.55
word_find.csv,88,83,0.8863636363636364,0.9036144578313253,0.8072289156626506,0.12048192771084337,0.261,1.0,0.0,0.7228915662650602,0.6024096385542169
word_old.csv,13,10,0.9230769230769231,0.9,0.8,0.1,0.154,0.0,1.0,0.4,0.5
word_come.csv,37,37,0.9459459459459459,0.9459459459459459,0.8918918918918919,0.16216216216216217,0.108,1.0,0.0,0.6216216216216216,0.4594594594594595
word_bad.csv,22,22,0.8636363636363636,0.8636363636363636,0.7727272727272727,0.18181818181818182,0.045,1.0,0.0,0.45454545454545453,0.2727272727272727
word_new.csv,71,65,0.9014084507042254,0.9230769230769231,0.9076923076923077,0.046153846153846156,0.042,1.0,0.0,0.5538461538461539,0.5076923076923077
word_before.csv,21,21,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.047619047619047616,0.238,0.0,1.0,0.42857142857142855,0.47619047619047616
word_no.csv,26,20,0.9230769230769231,0.95,0.8,0.15,0.077,0.6666666666666666,0.3333333333333333,0.35,0.3
word_lot.csv,26,24,0.8461538461538461,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.269,1.0,0.0,0.875,0.7916666666666666
word_talk.csv,15,15,0.8,0.8,0.9333333333333333,0.13333333333333333,0.067,0.5,0.5,0.3333333333333333,0.3333333333333333
word_house.csv,29,21,0.896551724137931,0.8571428571428571,0.8571428571428571,0.09523809523809523,0.069,0.5,0.5,0.6190476190476191,0.6190476190476191
word_with.csv,171,167,0.8596491228070176,0.8562874251497006,0.844311377245509,0.03592814371257485,0.135,0.5,0.5,0.5808383233532934,0.5808383233532934
word_really.csv,21,19,0.8095238095238095,0.7894736842105263,0.7894736842105263,0.0,0.143,nan,nan,0.6842105263157895,0.6842105263157895
word_go.csv,204,193,0.8970588235294118,0.8963730569948186,0.8549222797927462,0.08290155440414508,0.078,0.625,0.375,0.47668393782383417,0.45595854922279794
word_into.csv,35,35,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.0,0.171,nan,nan,0.2857142857142857,0.2857142857142857
word_week.csv,12,11,0.75,0.7272727272727273,0.8181818181818182,0.09090909090909091,0.167,0.0,1.0,0.6363636363636364,0.7272727272727273
word_around.csv,15,15,0.8666666666666667,0.8666666666666667,0.8,0.06666666666666667,0.133,1.0,0.0,0.3333333333333333,0.26666666666666666
word_every.csv,17,10,0.7647058823529411,0.8,0.8,0.0,0.471,nan,nan,0.6,0.6
word_off.csv,33,31,0.7575757575757576,0.7741935483870968,0.7741935483870968,0.06451612903225806,0.121,1.0,0.0,0.5483870967741935,0.4838709677419355
word_show.csv,18,17,0.7777777777777778,0.7647058823529411,0.8235294117647058,0.17647058823529413,0.056,1.0,0.0,0.6470588235294118,0.47058823529411764
word_put.csv,32,31,0.90625,0.9032258064516129,0.8709677419354839,0.0967741935483871,0.062,0.0,1.0,0.25806451612903225,0.3548387096774194
pronoun_pronoun.csv,529,481,0.8525519848771267,0.8523908523908524,0.8212058212058212,0.08108108108108109,0.127,0.8974358974358975,0.10256410256410256,0.5634095634095634,0.498960498960499
word_out.csv,91,86,0.8461538461538461,0.8488372093023255,0.8255813953488372,0.06976744186046512,0.121,0.6666666666666666,0.3333333333333333,0.4418604651162791,0.4186046511627907
word_cry.csv,20,11,0.95,1.0,1.0,0.0,0.150,nan,nan,0.6363636363636364,0.6363636363636364
word_without.csv,11,9,0.8181818181818182,0.7777777777777778,0.6666666666666666,0.1111111111111111,0.091,0.0,1.0,0.2222222222222222,0.3333333333333333
word_love.csv,84,33,0.8452380952380952,0.8787878787878788,0.8181818181818182,0.12121212121212122,0.381,0.5,0.5,0.7272727272727273,0.7272727272727273
word_an.csv,51,49,0.8235294117647058,0.8163265306122449,0.8163265306122449,0.04081632653061224,0.137,1.0,0.0,0.5714285714285714,0.5306122448979592
word_use.csv,18,17,0.8888888888888888,0.8823529411764706,0.8823529411764706,0.0,0.167,nan,nan,0.5882352941176471,0.5882352941176471
word_angry.csv,23,14,0.9130434782608695,0.8571428571428571,0.9285714285714286,0.07142857142857142,0.130,0.0,1.0,0.14285714285714285,0.21428571428571427
word_but.csv,43,43,0.813953488372093,0.813953488372093,0.7674418604651163,0.046511627906976744,0.256,1.0,0.0,0.5348837209302325,0.4883720930232558
